,customer_id,address_name,nickname,phone
0,C000000025,河北省通辽县房山乌鲁木齐街l座 849575,丽丽,15226024209
1,C000000026,青海省张家港市朝阳古路m座 168555,平,13480135397
2,C000000004,河北省上海县牧野成都街H座 138372,红霞,18539933876
3,C000000039,四川省建华县东城呼和浩特街c座 722905,柳,18173136626
4,C000000035,江苏省晶市金平韩路j座 933893,淑华,15066921726
5,C000000003,浙江省秀英市城东杨路U座 996630,宇,15372944455
6,C000000050,河南省杰市华龙李街L座 889186,红梅,18212365195
7,C000000023,香港特别行政区石家庄县闵行兴城路m座 942717,琳,15885748518
8,C000000030,宁夏回族自治区桂花县高港张街z座 218232,燕,14571119506
9,C000000005,新疆维吾尔自治区天津市大兴利街E座 677147,淑英,13677867850
10,C000000045,广东省济南市永川姜路b座 933884,秀珍,15676568786
11,C000000037,河北省佳市和平张街F座 527389,东,15945541107
12,C000000029,河北省宜都市闵行邓路J座 448040,桂荣,14556566371
13,C000000020,吉林省凤英市淄川西安路r座 634868,宇,18062758805
14,C000000032,辽宁省芳市安次韦街J座 516706,金凤,13461859375
15,C000000036,河北省南宁县平山王路N座 274160,海燕,18209819689
16,C000000049,湖北省春梅市上街陈街f座 431149,浩,18272499639
17,C000000006,江西省晶县吉区杭州街T座 741978,玉华,14591218323
18,C000000001,吉林省永安市萧山许路m座 651476,英,13877673847
19,C000000007,贵州省伟县新城阜新街f座 385438,志强,13754611352
20,C000000046,河南省太原市滨城邱路X座 619528,玉华,13332425077
21,C000000016,广东省合山县孝南杨街l座 842986,玉,15550365853
22,C000000017,广东省辛集县孝南广州路B座 654237,坤,15016762924
23,C000000018,湖北省哈尔滨县合川巢湖路y座 578460,丹,13669047225
24,C000000024,湖北省玉兰市东丽台北街b座 162814,岩,13477248069
25,C000000048,山东省玉市上街香港路i座 897120,淑华,15613319437
26,C000000042,西藏自治区波县城北伏路U座 398462,玉梅,15321893546
27,C000000013,江西省合肥县高明海门路o座 288797,丹丹,13277930051
28,C000000034,四川省超市大兴关岭街O座 553149,阳,13912124323
29,C000000011,香港特别行政区北京市高港马鞍山路Q座 953781,英,13838345859
30,C000000009,甘肃省长春市西夏邹街s座 632236,建华,13779389871
31,C000000019,西藏自治区南京市萧山通辽街r座 928004,杰,13764587377
32,C000000012,陕西省伟市南溪太原街M座 294218,兰英,13797576422
33,C000000010,浙江省嘉禾市金平陈路q座 731046,玉兰,14592435669
34,C000000047,安徽省马鞍山市清城李街i座 198137,斌,15085531774
35,C000000022,辽宁省淑华县孝南宁德街S座 423978,志强,18788364386
36,C000000002,辽宁省天津县大兴栾街D座 103261,玉华,13345010969
37,C000000028,河北省兰州县长寿吴街W座 458063,婷婷,13193109342
38,C000000043,内蒙古自治区北京市涪城兴城街d座 374059,云,13782677628
39,C000000041,澳门特别行政区健县长寿周路m座 352669,兵,13735480899
40,C000000040,湖南省玉兰县牧野齐路l座 138486,帅,15703458943
41,C000000033,青海省合山市永川吴路w座 347053,雪,15175265844
42,C000000021,辽宁省玉梅县友好陈街U座 571322,兰英,13994703861
43,C000000014,河北省丹市合川谈街S座 628988,敏,15184576777
44,C000000015,四川省兴城市金平西安街m座 822888,倩,15738076675
45,C000000027,吉林省武汉市长寿嘉禾路j座 154439,亮,14739447953
46,C000000038,宁夏回族自治区平县闵行张街p座 708679,丽,15296110430
47,C000000044,山西省济南市清河巢湖街K座 342917,凤兰,15544994766
48,C000000031,西藏自治区重庆市朝阳田路Z座 630376,桂珍,14792135671
49,C000000008,上海市成市朝阳董街C座 805797,强,14524630641
