,supplier_id,address_name,nickname,phone
0,S000000026,湖北省帆县东丽太原街Y座 112347,琴,18264714656
1,S000000011,陕西省杭州县长寿周路A座 645366,莉,15086548432
2,S000000017,台湾省北京县徐汇呼和浩特路j座 847036,帅,15892874197
3,S000000033,云南省沈阳县永川柳州路e座 195798,成,18661576235
4,S000000020,四川省飞县黄浦应路T座 810803,超,18872261184
5,S000000021,吉林省洋县江北范路g座 158237,鹏,14761351731
6,S000000042,湖南省丽华市城东高路b座 647757,秀云,13430784746
7,S000000045,湖南省北镇县门头沟邯郸路P座 939825,洁,14767968635
8,S000000013,新疆维吾尔自治区哈尔滨县山亭太原街w座 978006,桂珍,14550808023
9,S000000048,湖北省峰县永川王街p座 829675,淑珍,18180316046
10,S000000006,甘肃省娜市上街辽阳路Y座 296422,丹,18102329796
11,S000000003,湖北省长春县高坪李路h座 697681,建平,13247983456
12,S000000022,江西省玉市海港兰州路W座 577247,平,15217932570
13,S000000044,澳门特别行政区潮州县锡山程街Q座 846663,晨,13337093158
14,S000000037,湖北省静县沈北新朱路q座 300381,浩,18908296422
15,S000000016,四川省南京市永川张街X座 151592,瑜,15848929172
16,S000000004,四川省秀芳市门头沟李路q座 933868,玉珍,13551691849
17,S000000010,新疆维吾尔自治区兰州县清城魏街e座 249889,婷,15370625761
18,S000000049,西藏自治区拉萨县东丽巢湖街o座 898074,平,14513135435
19,S000000050,河北省欢县魏都郭路L座 160829,冬梅,18584152803
20,S000000007,福建省桂英市花溪梁路B座 340331,佳,18944969527
21,S000000039,澳门特别行政区武汉县东丽聂街g座 983170,瑞,14555651821
22,S000000019,吉林省建县南湖赵街J座 930356,龙,15925342638
23,S000000035,山东省慧市梁平陈街Q座 794548,玉梅,15216240220
24,S000000034,宁夏回族自治区银川市大兴通辽路M座 225355,畅,13787420796
25,S000000027,陕西省邯郸市西峰贵阳街Q座 205675,洁,18140798350
26,S000000009,辽宁省南宁县秀英成都街M座 556515,凯,18171323452
27,S000000008,香港特别行政区海口县城北南京路S座 865462,波,14536799451
28,S000000032,海南省贵阳县丰都南京路w座 419158,秀珍,18227902527
29,S000000047,重庆市建军市金平詹路M座 956747,杰,13818755787
30,S000000036,宁夏回族自治区兴安盟县白云辛集路Q座 506171,雪梅,15984655960
31,S000000014,天津市桂芳市清浦辛集街U座 886452,坤,15026067486
32,S000000029,浙江省亮市城北戴路z座 602249,金凤,15818795002
33,S000000005,江苏省南京市南溪兴城街q座 931832,雪梅,15151247379
34,S000000041,湖北省马鞍山县海港六盘水街H座 718215,红,18163252630
35,S000000040,云南省济南市合川哈尔滨街p座 627221,建国,15115572128
36,S000000002,广西壮族自治区六盘水市涪城梧州路x座 458234,春梅,13896148593
37,S000000001,北京市乌鲁木齐县东城严街f座 522850,俊,15516671517
38,S000000031,广西壮族自治区梅县清城曹街E座 874397,红霞,14576429947
39,S000000024,四川省六盘水市平山莫路l座 918765,萍,18826354823
40,S000000025,新疆维吾尔自治区鹏市朝阳冯路S座 480108,海燕,18583906593
41,S000000015,河北省贵阳市浔阳银川街Y座 686248,成,15998523668
42,S000000030,新疆维吾尔自治区杭州市黄浦李路d座 647326,坤,15551210880
43,S000000038,四川省瑞市西夏嘉禾街m座 908631,兵,18206132992
44,S000000012,江苏省梧州县淄川朱街i座 271923,彬,18161735451
45,S000000046,甘肃省通辽市海陵上海街m座 615402,玲,13222878887
46,S000000043,山东省张家港县南长重庆街D座 579655,畅,18687190880
47,S000000028,内蒙古自治区永安市平山合山街f座 621110,桂花,18688521365
48,S000000018,广东省阜新市闵行尹路y座 423735,刚,13794582417
49,S000000023,贵州省冬梅市闵行陈街K座 496512,晨,13037434292
