,supplier_id,supplier_password,supplier_password_hashed,supplier_name,owner_name,owner_id
0,S000000001,*lia3xNd^X,40065b70da,超艺传媒有限公司0,杜东,42102319890506857X
1,S000000002,^Us4Znw!1$,437a9d9747,创汇科技有限公司1,马想,450327194508109823
2,S000000003,gu3hzP&e@c,47a6df5366,和泰网络有限公司2,胡兵,35082219370803988X
3,S000000004,j*39!Akth%,99de8f5a2c,雨林木风计算机传媒有限公司3,孙玉英,440883198608012011
4,S000000005,(c^D6hJcN6,f293ffd6e1,迪摩传媒有限公司4,赵晶,360403194510018624
5,S000000006,#UWEsTbYV8,2a472e0511,惠派国际公司网络有限公司5,林健,35030419410621450X
6,S000000007,_nVc9G#l9+,d76c0881cd,群英传媒有限公司6,赵想,61092819590523201X
7,S000000008,K2%t2Gjm*6,aef2dfbbba,诺依曼软件网络有限公司7,兰玉英,370303193302084733
8,S000000009,z1!$J(g^@+,cf9e249bc9,明腾科技有限公司8,欧建华,450304198103257143
9,S000000010,Ikaz!0XyT(,f47cb84e4a,太极网络有限公司9,邓颖,511823198411215782
10,S000000011,$a_dSYRqC3,9e6d521181,恩悌科技有限公司10,王秀云,53032319770907256X
11,S000000012,(3YlRuaR^i,77a9c6e9eb,菊风公司网络有限公司11,刘阳,210200199107300080
12,S000000013,@hFawNuAB2,af292c811b,富罳网络有限公司12,田强,430700199506160220
13,S000000014,G7Px4az9(Y,fc8061bbd0,戴硕电子网络有限公司13,黄丹丹,430524198708084444
14,S000000015,kNr7kTon&!,0f7dc2e9ce,联软信息有限公司14,郭丽丽,430181194902203205
15,S000000016,)DEr0TlP@0,56c6bcd847,双敏电子科技有限公司15,马春梅,532626195704278532
16,S000000017,+L_VOhfk7g,da466c9e06,菊风公司科技有限公司16,朱红,511112193606302122
17,S000000018,^n3^Juu94q,60a759f5cd,浦华众城科技有限公司17,姚涛,210101193512143393
18,S000000019,3q6Ec)v_f!,5c05cd6a97,创联世纪信息有限公司18,邓颖,520624197707276906
19,S000000020,H&938kHbkd,c83684f69f,创联世纪传媒有限公司19,王伟,620821195304219655
20,S000000021,Bmx!p4Ivac,36114374fd,明腾传媒有限公司20,阳明,410222196511123401
21,S000000022,^5K9^oVYmY,46ab912c06,创亿科技有限公司21,齐敏,350205198701175954
22,S000000023,K7J0SEiu@i,f54fc97b7d,超艺信息有限公司22,陈玉珍,659003199501259061
23,S000000024,i4bwXfLo!I,b712fae635,中建创业网络有限公司23,范秀华,130304194405197307
24,S000000025,O+6@$GT$is,6d0a0acb57,双敏电子传媒有限公司24,王秀英,33032720020906913X
25,S000000026,e0RsIu^g_p,699b12d3e3,鸿睿思博科技有限公司25,吴成,361130193701073684
26,S000000027,56MKc+*j*I,71b711aa88,菊风公司传媒有限公司26,谢倩,410825194306308274
27,S000000028,sC&7N47uLQ,a67b786dd0,数字100科技有限公司27,刘荣,140802195007053763
28,S000000029,O!^1aYhZtc,5ee56baced,彩虹网络有限公司28,刘林,469022195905229921
29,S000000030,iQk(7WMn$9,76f78c13c5,太极科技有限公司29,覃阳,500118193509254750
30,S000000031,Z(F0SxF6tk,11fac01e8d,东方峻景网络有限公司30,邵欣,210781198703129663
31,S000000032,&QQ8Mdrc1y,a90725de48,恒聪百汇信息有限公司31,潘梅,231102200212317586
32,S000000033,W2N@Npke(L,7b3961e403,恒聪百汇科技有限公司32,张淑兰,450701195310114486
33,S000000034,e*_C0WJiqR,ca9f37b77b,华远软件信息有限公司33,郝晨,451423199104047164
34,S000000035,*2QUmVE&x4,f22e06fbc8,佳禾网络有限公司34,黄慧,350305200009107256
35,S000000036,**dT5vQdwx,571400f8e4,图龙信息信息有限公司35,施勇,130726199204093897
36,S000000037,)3bvRhHdSp,0821b8b96e,开发区世创网络有限公司36,周桂芳,632701197902198614
37,S000000038,*wDYn6hgL5,1d83161308,易动力科技有限公司37,朱璐,360700194007155469
38,S000000039,lWnB7Piu&R,75ed49c2d1,精芯信息有限公司38,刘淑兰,211301198901227480
39,S000000040,*0LDCh(f+*,be97fd1607,时刻科技有限公司39,周柳,430422199909130781
40,S000000041,@y3+C+hPz^,20d59149db,方正科技网络有限公司40,高建华,210204195202247318
41,S000000042,Ju7HxB7^Y%,4aecae5a46,凌颖信息科技有限公司41,冯楠,652928195402263673
